date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Jul-11,-0.33,2.58,-0.15,0.77,-0.03,-0.3,0.18,1.29,-0.3,-0.49,-0.06,1.99,0.34
Aug-11,-1.95,0.07,-4.02,-3.9,-1.61,-4.01,-0.85,-0.63,-4.21,-1.19,-2,6.69,-2.52
Sep-11,-1.9,-0.57,-3.7,-6.95,-1.59,-3.41,-0.48,-1.42,-4.61,-1.02,-1.97,7.77,-2.62
Oct-11,1.29,-3.17,2.37,3.65,1.61,2.98,0.63,0.53,3.9,1.72,1.47,-7.21,0.94
Nov-11,-0.94,0.14,-1.08,-2.72,0.02,-0.58,-0.34,-0.66,-1.31,0.17,-0.24,1.31,-0.93
Dec-11,0.29,0.34,0.5,-1.81,0.06,-0.34,0.45,-0.22,-0.56,0.56,0.12,0.41,-0.54
Jan-12,2.36,0.46,3.24,3.95,0.95,2.88,1.16,1.9,3.27,0.95,2.02,-6.79,1.47
Feb-12,2.18,0.91,2.02,3.41,0.71,1.7,1.19,1.34,2.48,1.11,1.72,-5.22,1.4
Mar-12,0.65,-2.04,0.91,-1.33,0.23,0.58,0.61,-0.61,0.33,0.24,0.55,-1.23,0.01
Apr-12,-0.17,-0.03,-0.12,-0.27,-0.13,-0.18,0.34,-0.59,-0.68,-0.11,-0.2,0.57,-0.33
May-12,-0.77,2.59,-1.86,-5.31,-1.15,-1.91,-0.03,-0.67,-3.75,-0.48,-1,6.77,-1.4
Jun-12,0.72,-2.72,-0.09,0.26,0.06,0.07,0.46,-0.63,0.6,0.23,0.7,-2.58,-0.37
Jul-12,0.92,3.12,0.89,0.81,0.41,0.48,1.25,1.44,0.39,0.06,1.17,0.87,0.76
Aug-12,0.76,-0.82,1.61,0.75,0.49,1.29,0.82,0.37,1.08,0.44,0.95,-3.67,0.68
Sep-12,0.57,-1.04,1.69,2.73,0.43,1.2,0.76,0.51,1.57,0.06,1.02,-3.85,0.73
Oct-12,0.17,-3.1,1.18,0.28,0.28,0.48,0.58,-0.83,0.09,-0.79,0.3,0.05,-0.25
Nov-12,0.41,-0.04,0.82,1.31,0.37,0.8,0.54,0.27,0.52,1,0.56,-1.5,0.46
Dec-12,0.98,0.57,2.59,3.3,0.37,1.93,0.73,1.11,1.45,1.45,1.17,-3.87,1.08
Jan-13,1.58,1.86,2.19,3.03,1.35,2.14,1.16,1.65,3.08,-0.16,2.04,-4.52,2.06
Feb-13,0.09,-0.99,0.52,-0.12,0.33,0.41,0.56,-0.12,0.37,0.39,0.47,-0.35,0.32
Mar-13,0.77,0.89,1.49,0.68,0.35,1.43,1.13,0.64,1.44,0.69,1.3,-1.89,0.93
Apr-13,0.52,1.92,1.75,0.63,0.08,0.78,0.5,1.14,0.64,0.61,0.55,-2.86,0.76
May-13,1.34,-2.61,2.23,0.33,0.24,1.87,0.5,-0.23,1.35,0.59,1.01,-2.45,0.67
Jun-13,-0.81,-2.73,-1.05,-3.21,0.28,-1.13,-1.22,-1.76,-0.94,-0.22,-1.02,0.56,-1.33
Jul-13,0.6,-0.76,1.4,0.75,1,1.49,0.67,0.16,2.15,1.03,1.17,-3.69,0.91
Aug-13,0.46,-1.39,-0.34,-1.22,-0.59,-0.11,0.14,-0.91,-0.76,-0.01,-0.46,1.07,-0.68
Sep-13,0.43,-0.57,1.64,2.35,0.63,1.6,0.47,0.69,2.33,0.84,1.4,-4.52,1.27
Oct-13,0.95,1.45,1.61,2.38,1.42,1.45,0.85,0.94,2.04,0.45,1.45,-2.07,1.25
Nov-13,0.07,1.14,1.22,0.3,1.05,1.19,0.67,0.69,1.54,0.3,0.87,-1.65,1.09
Dec-13,0.48,0.52,1.2,1.01,0.76,1.22,0.4,0.65,1.57,0.61,1.02,-1.55,1.09
Jan-14,1.37,-1.75,0.47,-1.95,0.42,0.3,0.75,-0.88,-0.32,0.46,0.02,0.94,-0.33
Feb-14,0.62,1.37,2.43,1.9,0.66,2.23,0.99,0.9,2.53,1.1,1.49,-3.22,1.57
Mar-14,0.47,-1.19,0.63,0.08,-0.05,-0.14,0.36,-0.54,-0.56,-0.5,0.28,0,-0.7
Apr-14,0.29,0.5,0.25,0.04,-0.23,0.15,0.55,-0.23,-0.83,0.13,0.45,1.25,-0.71
